region,date,metrics,type,value
HQ,1979_9,SF,GWRMP,6061.295
HQ,1980_5,SF,GWRMP,6026.6358
HQ,1980_6,SF,GWRMP,6090.65
HQ,1980_7,SF,GWRMP,6128.9644
HQ,1980_8,SF,GWRMP,6192.4126
HQ,1980_9,SF,GWRMP,6055.3412
HQ,1981_5,SF,GWRMP,6030.6044
HQ,1981_6,SF,GWRMP,6087.7429
HQ,1981_7,SF,GWRMP,6070.3064
HQ,1981_8,SF,GWRMP,6048.6616
HQ,1981_9,SF,GWRMP,6014.6134
HQ,1982_5,SF,GWRMP,6010.9026
HQ,1982_6,SF,GWRMP,6056.8517
HQ,1982_7,SF,GWRMP,6155.3336
HQ,1982_8,SF,GWRMP,6044.2292
HQ,1982_9,SF,GWRMP,5999.748
HQ,1983_5,SF,GWRMP,6081.2537
HQ,1983_6,SF,GWRMP,6161.6943
HQ,1983_7,SF,GWRMP,6067.6072
HQ,1983_8,SF,GWRMP,6004.9391
HQ,1983_9,SF,GWRMP,6125.8175
HQ,1984_5,SF,GWRMP,6055.8867
HQ,1984_6,SF,GWRMP,6170.9354
HQ,1984_7,SF,GWRMP,6045.9395
HQ,1984_8,SF,GWRMP,6070.0793
HQ,1984_9,SF,GWRMP,6075.3852
HQ,1985_5,SF,GWRMP,6075.1261
HQ,1985_6,SF,GWRMP,6066.4025
HQ,1985_7,SF,GWRMP,6111.0668
HQ,1985_8,SF,GWRMP,6043.8574
HQ,1985_9,SF,GWRMP,6066.4303
HQ,1986_5,SF,GWRMP,6015.5872
HQ,1986_6,SF,GWRMP,6146.9476
HQ,1986_7,SF,GWRMP,6067.1584
HQ,1986_8,SF,GWRMP,6028.6603
HQ,1986_9,SF,GWRMP,6029.6497
HQ,1987_5,SF,GWRMP,6035.7769
HQ,1987_6,SF,GWRMP,6058.992
HQ,1987_7,SF,GWRMP,6236.7651
HQ,1987_8,SF,GWRMP,6096.6584
HQ,1987_9,SF,GWRMP,6047.4526
HQ,1988_5,SF,GWRMP,6069.082
HQ,1988_6,SF,GWRMP,6057.9235
HQ,1988_7,SF,GWRMP,6080.1924
HQ,1988_8,SF,GWRMP,6052.4494
HQ,1988_9,SF,GWRMP,6065.3601
HQ,1989_5,SF,GWRMP,6045.3958
HQ,1989_6,SF,GWRMP,6059.7065
HQ,1989_7,SF,GWRMP,6123.2159
HQ,1989_8,SF,GWRMP,6110.8685
HQ,1989_9,SF,GWRMP,6082.2983
HQ,1990_5,SF,GWRMP,6038.0739
HQ,1990_6,SF,GWRMP,6059.9333
HQ,1990_7,SF,GWRMP,6017.7113
HQ,1990_8,SF,GWRMP,6155.0898
HQ,1990_9,SF,GWRMP,6078.8413
HQ,1991_5,SF,GWRMP,6045.1596
HQ,1991_6,SF,GWRMP,6180.5658
HQ,1991_7,SF,GWRMP,6175.3885
HQ,1991_8,SF,GWRMP,6050.8393
HQ,1991_9,SF,GWRMP,6058.1949
HQ,1992_5,SF,GWRMP,6018.0375
HQ,1992_6,SF,GWRMP,6060.721
HQ,1992_7,SF,GWRMP,6014.2436
HQ,1992_8,SF,GWRMP,6107.0146
HQ,1992_9,SF,GWRMP,6069.7685
HQ,1993_5,SF,GWRMP,6052.6831
HQ,1993_6,SF,GWRMP,6100.9866
HQ,1993_7,SF,GWRMP,6125.4803
HQ,1993_8,SF,GWRMP,6184.2054
HQ,1993_9,SF,GWRMP,6053.938
HQ,1994_5,SF,GWRMP,6033.3228
HQ,1994_6,SF,GWRMP,6093.2193
HQ,1994_7,SF,GWRMP,5987.9335
HQ,1994_8,SF,GWRMP,6055.7496
HQ,1994_9,SF,GWRMP,5998.9937
HQ,1995_5,SF,GWRMP,6082.2177
