region,date,metrics,type,value
HQ,2014_9,AG,GWRMP,2479.9278
HQ,2015_5,AG,GWRMP,2500.9543
HQ,2015_6,AG,GWRMP,2591.7665
HQ,2015_7,AG,GWRMP,2507.8434
HQ,2015_8,AG,GWRMP,2497.7059
HQ,2015_9,AG,GWRMP,2492.6627
HQ,2016_5,AG,GWRMP,2521.8403
HQ,2016_6,AG,GWRMP,2571.5808
HQ,2016_7,AG,GWRMP,2540.366
HQ,2016_8,AG,GWRMP,2479.0906
HQ,2016_9,AG,GWRMP,2548.8569
HX,1979_5,AG,GWRMP,2247.9859
HX,1979_6,AG,GWRMP,2279.5645
HX,1979_7,AG,GWRMP,2280.203
HX,1979_8,AG,GWRMP,2246.9605
HX,1979_9,AG,GWRMP,2252.7188
HX,1980_5,AG,GWRMP,2258.0843
HX,1980_6,AG,GWRMP,2277.9535
HX,1980_7,AG,GWRMP,2301.351
HX,1980_8,AG,GWRMP,2307.4996
HX,1980_9,AG,GWRMP,2250.5263
HX,1981_5,AG,GWRMP,2247.4199
HX,1981_6,AG,GWRMP,2268.3027
HX,1981_7,AG,GWRMP,2282.4418
HX,1981_8,AG,GWRMP,2254.6603
HX,1981_9,AG,GWRMP,2244.4928
HX,1982_5,AG,GWRMP,2236.5586
HX,1982_6,AG,GWRMP,2262.3065
HX,1982_7,AG,GWRMP,2317.594
HX,1982_8,AG,GWRMP,2257.5495
HX,1982_9,AG,GWRMP,2237.4828
HX,1983_5,AG,GWRMP,2261.3843
HX,1983_6,AG,GWRMP,2295.4839
HX,1983_7,AG,GWRMP,2273.6998
HX,1983_8,AG,GWRMP,2237.4746
HX,1983_9,AG,GWRMP,2276.0048
HX,1984_5,AG,GWRMP,2252.5609
HX,1984_6,AG,GWRMP,2304.6438
HX,1984_7,AG,GWRMP,2259.8192
HX,1984_8,AG,GWRMP,2260.367
HX,1984_9,AG,GWRMP,2274.756
HX,1985_5,AG,GWRMP,2268.0312
HX,1985_6,AG,GWRMP,2263.2203
HX,1985_7,AG,GWRMP,2277.8932
HX,1985_8,AG,GWRMP,2260.4059
HX,1985_9,AG,GWRMP,2256.5137
HX,1986_5,AG,GWRMP,2240.5686
HX,1986_6,AG,GWRMP,2288.7835
HX,1986_7,AG,GWRMP,2273.9898
HX,1986_8,AG,GWRMP,2253.2348
HX,1986_9,AG,GWRMP,2246.0753
HX,1987_5,AG,GWRMP,2256.846
HX,1987_6,AG,GWRMP,2255.485
HX,1987_7,AG,GWRMP,2337.2432
HX,1987_8,AG,GWRMP,2290.7513
HX,1987_9,AG,GWRMP,2241.0038
HX,1988_5,AG,GWRMP,2263.8921
HX,1988_6,AG,GWRMP,2271.705
HX,1988_7,AG,GWRMP,2277.9841
HX,1988_8,AG,GWRMP,2245.0117
HX,1988_9,AG,GWRMP,2260.0286
HX,1989_5,AG,GWRMP,2252.3763
HX,1989_6,AG,GWRMP,2261.5991
HX,1989_7,AG,GWRMP,2284.5464
HX,1989_8,AG,GWRMP,2292.6973
HX,1989_9,AG,GWRMP,2266.691
HX,1990_5,AG,GWRMP,2249.606
HX,1990_6,AG,GWRMP,2272.9763
HX,1990_7,AG,GWRMP,2252.0682
HX,1990_8,AG,GWRMP,2280.9637
HX,1990_9,AG,GWRMP,2253.8098
HX,1991_5,AG,GWRMP,2257.0642
HX,1991_6,AG,GWRMP,2336.1808
HX,1991_7,AG,GWRMP,2346.4648
HX,1991_8,AG,GWRMP,2270.4479
HX,1991_9,AG,GWRMP,2263.676
HX,1992_5,AG,GWRMP,2244.4974
HX,1992_6,AG,GWRMP,2255.7532
HX,1992_7,AG,GWRMP,2250.196
HX,1992_8,AG,GWRMP,2294.564
HX,1992_9,AG,GWRMP,2261.1526
HX,1993_5,AG,GWRMP,2258.5714
HX,1993_6,AG,GWRMP,2275.7891
HX,1993_7,AG,GWRMP,2264.7094
HX,1993_8,AG,GWRMP,2288.8554
HX,1993_9,AG,GWRMP,2256.2894
HX,1994_5,AG,GWRMP,2255.6797
HX,1994_6,AG,GWRMP,2267.2554
HX,1994_7,AG,GWRMP,2244.7732
HX,1994_8,AG,GWRMP,2254.9738
HX,1994_9,AG,GWRMP,2234.6443
HX,1995_5,AG,GWRMP,2266.1332
HX,1995_6,AG,GWRMP,2284.5299
HX,1995_7,AG,GWRMP,2263.7422
HX,1995_8,AG,GWRMP,2264.1704
HX,1995_9,AG,GWRMP,2228.959
HX,1996_5,AG,GWRMP,2242.6398
HX,1996_6,AG,GWRMP,2292.0632
HX,1996_7,AG,GWRMP,2302.2586
HX,1996_8,AG,GWRMP,2252.4112
HX,1996_9,AG,GWRMP,2237.5364
HX,1997_5,AG,GWRMP,2261.8337
HX,1997_6,AG,GWRMP,2256.0876
HX,1997_7,AG,GWRMP,2257.8504
HX,1997_8,AG,GWRMP,2269.8998
HX,1997_9,AG,GWRMP,2230.5322
HX,1998_5,AG,GWRMP,2253.0492
HX,1998_6,AG,GWRMP,2281.9671
HX,1998_7,AG,GWRMP,2287.4452
HX,1998_8,AG,GWRMP,2255.7211
HX,1998_9,AG,GWRMP,2251.9685
HX,1999_5,AG,GWRMP,2253.4774
HX,1999_6,AG,GWRMP,2363.6046
HX,1999_7,AG,GWRMP,2257.8639
HX,1999_8,AG,GWRMP,2303.809
HX,1999_9,AG,GWRMP,2241.3787
HX,2000_5,AG,GWRMP,2265.5599
HX,2000_6,AG,GWRMP,2284.2993
HX,2000_7,AG,GWRMP,2255.0606
HX,2000_8,AG,GWRMP,2266.5838
HX,2000_9,AG,GWRMP,2244.3042
HX,2001_5,AG,GWRMP,2237.9152
HX,2001_6,AG,GWRMP,2284.6053
HX,2001_7,AG,GWRMP,2280.8186
HX,2001_8,AG,GWRMP,2281.8125
HX,2001_9,AG,GWRMP,2232.1291
HX,2002_5,AG,GWRMP,2275.3455
HX,2002_6,AG,GWRMP,2296.1739
HX,2002_7,AG,GWRMP,2253.0867
HX,2002_8,AG,GWRMP,2267.3945
HX,2002_9,AG,GWRMP,2243.7403
HX,2003_5,AG,GWRMP,2239.6737
HX,2003_6,AG,GWRMP,2275.6465
HX,2003_7,AG,GWRMP,2326.7385
HX,2003_8,AG,GWRMP,2248.6348
HX,2003_9,AG,GWRMP,2245.1077
HX,2004_5,AG,GWRMP,2265.8815
HX,2004_6,AG,GWRMP,2292.1202
HX,2004_7,AG,GWRMP,2258.5521
HX,2004_8,AG,GWRMP,2248.0537
HX,2004_9,AG,GWRMP,2237.8076
HX,2005_5,AG,GWRMP,2244.4492
HX,2005_6,AG,GWRMP,2250.4165
HX,2005_7,AG,GWRMP,2294.105
HX,2005_8,AG,GWRMP,2273.0873
HX,2005_9,AG,GWRMP,2248.8626
HX,2006_5,AG,GWRMP,2256.7845
HX,2006_6,AG,GWRMP,2258.2868
HX,2006_7,AG,GWRMP,2302.3415
HX,2006_8,AG,GWRMP,2249.9644
HX,2006_9,AG,GWRMP,2253.098
HX,2007_5,AG,GWRMP,2243.4425
HX,2007_6,AG,GWRMP,2249.5939
HX,2007_7,AG,GWRMP,2320.3881
HX,2007_8,AG,GWRMP,2254.8847
HX,2007_9,AG,GWRMP,2260.4891
HX,2008_5,AG,GWRMP,2254.1441
HX,2008_6,AG,GWRMP,2281.514
HX,2008_7,AG,GWRMP,2284.0733
HX,2008_8,AG,GWRMP,2261.7867
HX,2008_9,AG,GWRMP,2243.0697
HX,2009_5,AG,GWRMP,2242.1144
HX,2009_6,AG,GWRMP,2289.6018
HX,2009_7,AG,GWRMP,2325.2828
HX,2009_8,AG,GWRMP,2270.0087
HX,2009_9,AG,GWRMP,2251.6057
HX,2010_5,AG,GWRMP,2247.4497
HX,2010_6,AG,GWRMP,2242.0188
HX,2010_7,AG,GWRMP,2308.8594
HX,2010_8,AG,GWRMP,2253.0916
HX,2010_9,AG,GWRMP,2258.5598
HX,2011_5,AG,GWRMP,2237.6113
HX,2011_6,AG,GWRMP,2318.3582
HX,2011_7,AG,GWRMP,2287.0005
HX,2011_8,AG,GWRMP,2326.38
HX,2011_9,AG,GWRMP,2232.662
HX,2012_5,AG,GWRMP,2254.1276
HX,2012_6,AG,GWRMP,2244.7184
HX,2012_7,AG,GWRMP,2277.2425
HX,2012_8,AG,GWRMP,2294.5481
HX,2012_9,AG,GWRMP,2247.659
HX,2013_5,AG,GWRMP,2261.5567
HX,2013_6,AG,GWRMP,2274.2903
HX,2013_7,AG,GWRMP,2269.2951
HX,2013_8,AG,GWRMP,2252.6442
HX,2013_9,AG,GWRMP,2246.7284
HX,2014_5,AG,GWRMP,2245.8003
HX,2014_6,AG,GWRMP,2261.7841
HX,2014_7,AG,GWRMP,2305.0347
HX,2014_8,AG,GWRMP,2285.5417
HX,2014_9,AG,GWRMP,2248.4853
HX,2015_5,AG,GWRMP,2266.7529
HX,2015_6,AG,GWRMP,2382.2285
HX,2015_7,AG,GWRMP,2274.9226
HX,2015_8,AG,GWRMP,2269.9929
HX,2015_9,AG,GWRMP,2258.494
HX,2016_5,AG,GWRMP,2284.4203
HX,2016_6,AG,GWRMP,2313.6492
HX,2016_7,AG,GWRMP,2329.8598
HX,2016_8,AG,GWRMP,2246.0535
HX,2016_9,AG,GWRMP,2323.4929
PDPX,1979_5,AG,GWRMP,2776.2221
PDPX,1979_6,AG,GWRMP,2793.9797
PDPX,1979_7,AG,GWRMP,2795.072
PDPX,1979_8,AG,GWRMP,2787.6739
PDPX,1979_9,AG,GWRMP,2785.6459
PDPX,1980_5,AG,GWRMP,2783.889
PDPX,1980_6,AG,GWRMP,2810.7324
PDPX,1980_7,AG,GWRMP,2804.9312
PDPX,1980_8,AG,GWRMP,2877.0804
PDPX,1980_9,AG,GWRMP,2800.0854
PDPX,1981_5,AG,GWRMP,2780.2894
PDPX,1981_6,AG,GWRMP,2805.076
PDPX,1981_7,AG,GWRMP,2806.8591
PDPX,1981_8,AG,GWRMP,2784.9366
PDPX,1981_9,AG,GWRMP,2783.5572
