region,date,metrics,type,value,value1
HQ,2014_6,EN,GWRMP,2.8129,2.953545
HQ,2014_7,EN,GWRMP,3.1346,3.29133
HQ,2014_8,EN,GWRMP,2.6098,2.74029
HQ,2014_9,EN,GWRMP,2.378,2.4969
HQ,2015_5,EN,GWRMP,2.8246,2.96583
HQ,2015_6,EN,GWRMP,3.4859,3.660195
HQ,2015_7,EN,GWRMP,2.7236,2.85978
HQ,2015_8,EN,GWRMP,2.7042,2.83941
HQ,2015_9,EN,GWRMP,2.4942,2.61891
HQ,2016_5,EN,GWRMP,2.727,2.86335
HQ,2016_6,EN,GWRMP,3.0666,3.21993
HQ,2016_7,EN,GWRMP,3.6287,3.810135
HQ,2016_8,EN,GWRMP,2.5841,2.713305
HQ,2016_9,EN,GWRMP,3.4859,3.660195
HX,1979_5,EN,GWRMP,2.1997,2.1997
HX,1979_6,EN,GWRMP,3.1019,3.1019
HX,1979_7,EN,GWRMP,3.315,3.315
HX,1979_8,EN,GWRMP,2.8598,2.8598
HX,1979_9,EN,GWRMP,2.643,2.643
HX,1980_5,EN,GWRMP,3.088,3.088
HX,1980_6,EN,GWRMP,2.7378,2.7378
HX,1980_7,EN,GWRMP,3.2446,3.2446
HX,1980_8,EN,GWRMP,3.771,3.771
HX,1980_9,EN,GWRMP,3.0266,3.0266
HX,1981_5,EN,GWRMP,2.7502,2.7502
HX,1981_6,EN,GWRMP,2.5762,2.5762
HX,1981_7,EN,GWRMP,2.8976,2.8976
HX,1981_8,EN,GWRMP,2.991,2.991
HX,1981_9,EN,GWRMP,2.5558,2.5558
HX,1982_5,EN,GWRMP,2.0013,2.0013
HX,1982_6,EN,GWRMP,3.0463,3.0463
HX,1982_7,EN,GWRMP,3.3477,3.3477
HX,1982_8,EN,GWRMP,2.639,2.639
HX,1982_9,EN,GWRMP,1.5061,1.5061
HX,1983_5,EN,GWRMP,3.119,3.119
HX,1983_6,EN,GWRMP,3.4167,3.4167
HX,1983_7,EN,GWRMP,2.5167,2.5167
HX,1983_8,EN,GWRMP,2.1798,2.1798
HX,1983_9,EN,GWRMP,3.4688,3.4688
HX,1984_5,EN,GWRMP,2.7675,2.7675
HX,1984_6,EN,GWRMP,3.5414,3.5414
HX,1984_7,EN,GWRMP,2.7767,2.7767
HX,1984_8,EN,GWRMP,2.3552,2.3552
HX,1984_9,EN,GWRMP,2.6598,2.6598
HX,1985_5,EN,GWRMP,2.3386,2.3386
HX,1985_6,EN,GWRMP,2.9532,2.9532
HX,1985_7,EN,GWRMP,3.0154,3.0154
HX,1985_8,EN,GWRMP,3.1115,3.1115
HX,1985_9,EN,GWRMP,2.7529,2.7529
HX,1986_5,EN,GWRMP,1.9333,1.9333
HX,1986_6,EN,GWRMP,3.1458,3.1458
HX,1986_7,EN,GWRMP,3.4043,3.4043
HX,1986_8,EN,GWRMP,2.5366,2.5366
HX,1986_9,EN,GWRMP,3.0371,3.0371
HX,1987_5,EN,GWRMP,2.6647,2.6647
HX,1987_6,EN,GWRMP,2.5959,2.5959
HX,1987_7,EN,GWRMP,3.1266,3.1266
HX,1987_8,EN,GWRMP,2.7625,2.7625
HX,1987_9,EN,GWRMP,2.9144,2.9144
HX,1988_5,EN,GWRMP,2.4335,2.4335
HX,1988_6,EN,GWRMP,3.0797,3.0797
HX,1988_7,EN,GWRMP,3.3433,3.3433
HX,1988_8,EN,GWRMP,2.5114,2.5114
HX,1988_9,EN,GWRMP,2.1185,2.1185
HX,1989_5,EN,GWRMP,2.5792,2.5792
HX,1989_6,EN,GWRMP,2.2802,2.2802
